選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
内川　聖一,ソフトバンク,0.284,136,585,529,150,11,82,1,45,4,55,0,24,0.34,0.395,0.735,4.42,4.41,2015
下園　辰哉,DeNA,0.284,53,84,74,21,1,8,0,8,0,14,2,2,0.354,0.378,0.732,4.68,4.50,2015
平田　良介,中日,0.283,130,559,491,139,13,53,11,64,3,86,1,5,0.369,0.43,0.799,5.92,5.74,2015
今成　亮太,阪神,0.283,93,304,269,76,1,16,1,24,2,78,8,1,0.345,0.32,0.664,4.23,4.17,2015
李　大浩,ソフトバンク,0.282,141,584,510,144,31,98,0,62,9,109,0,17,0.368,0.524,0.892,6.53,6.46,2015
鳥谷　敬,阪神,0.281,143,646,551,155,6,42,9,89,1,77,2,8,0.38,0.367,0.747,5.42,5.34,2015
福留　孝介,阪神,0.281,140,569,495,139,20,76,1,65,1,75,1,15,0.361,0.463,0.824,5.76,5.78,2015
岩崎　恭平,オリックス,0.281,35,113,96,27,4,8,2,8,1,23,8,0,0.343,0.427,0.77,4.95,4.92,2015
Ｔ−岡田,オリックス,0.28,105,416,389,109,11,51,2,17,6,80,0,9,0.317,0.424,0.741,4.69,4.66,2015
中村　剛也,西武,0.278,139,599,521,145,37,124,1,68,7,172,0,12,0.367,0.559,0.926,7.13,7.03,2015
高橋　由伸,巨人,0.278,77,158,133,37,5,21,2,20,4,39,0,3,0.386,0.429,0.815,6.26,6.25,2015
松山　竜平,広島,0.277,100,229,202,56,7,26,1,23,1,30,0,8,0.349,0.446,0.795,5.15,5.17,2015
大田　泰示,巨人,0.277,60,138,130,36,1,3,3,7,1,39,0,0,0.319,0.354,0.673,4.18,4.03,2015
谷繁　元信,中日,0.277,30,52,47,13,1,4,0,3,0,9,2,0,0.32,0.383,0.703,4.52,4.39,2015
マートン,阪神,0.276,140,583,544,150,9,59,0,31,3,77,0,21,0.316,0.375,0.691,3.79,3.76,2015
西川　遥輝,日本ハム,0.276,125,521,442,122,5,35,30,60,4,98,15,1,0.368,0.391,0.759,5.70,5.50,2015
堂上　剛裕,巨人,0.276,59,104,98,27,3,13,0,4,0,20,1,6,0.301,0.48,0.781,4.16,4.05,2015
梶谷　隆幸,DeNA,0.275,134,578,520,143,13,66,28,54,0,132,2,4,0.342,0.425,0.767,5.28,5.16,2015
新井　貴浩,広島,0.275,125,480,426,117,7,57,3,48,2,73,0,15,0.348,0.385,0.733,4.66,4.61,2015
鈴木　誠也,広島,0.275,97,238,211,58,5,25,6,16,2,38,7,3,0.329,0.403,0.732,4.25,4.31,2015
田中　広輔,広島,0.274,141,590,543,149,8,45,6,34,7,105,5,8,0.325,0.413,0.737,4.61,4.43,2015
川島　慶三,ソフトバンク,0.274,77,194,157,43,2,20,7,22,3,29,9,2,0.368,0.401,0.769,5.41,5.45,2015
狩野　恵輔,阪神,0.274,66,93,84,23,3,13,1,4,4,12,0,3,0.333,0.429,0.762,4.86,4.89,2015
松本　啓二朗,DeNA,0.274,51,85,73,20,1,7,0,7,0,19,3,2,0.329,0.384,0.713,3.99,4.12,2015
伏見　寅威,オリックス,0.273,20,26,22,6,0,0,0,1,1,6,2,1,0.333,0.318,0.652,3.16,3.01,2015
伊東　亮大,楽天,0.273,8,23,22,6,2,2,1,0,1,5,0,1,0.304,0.591,0.895,5.98,5.99,2015
亀井　善行,巨人,0.272,109,432,382,104,6,35,8,40,1,59,3,6,0.338,0.374,0.712,4.75,4.77,2015
福浦　和也,ロッテ,0.272,73,199,173,47,2,21,1,20,6,34,0,4,0.367,0.324,0.691,4.60,4.54,2015
渡辺　直人,西武,0.272,83,188,158,43,0,23,1,14,5,26,10,2,0.348,0.329,0.677,4.24,4.15,2015
ゴメス,阪神,0.271,143,601,520,141,17,72,0,72,6,134,0,15,0.364,0.423,0.787,5.42,5.37,2015
エルナンデス,中日,0.271,138,548,498,135,11,58,5,35,0,106,10,13,0.317,0.4,0.716,4.18,4.13,2015
伊藤　光,オリックス,0.271,104,290,247,67,1,28,0,29,1,53,11,4,0.348,0.328,0.676,4.10,4.07,2015
遠藤　一星,中日,0.271,41,165,140,38,4,14,3,11,7,25,4,1,0.348,0.386,0.734,4.78,4.98,2015
浅村　栄斗,西武,0.27,141,627,537,145,13,81,12,69,12,136,2,13,0.362,0.385,0.747,4.91,5.00,2015
雄平,ヤクルト,0.27,141,585,551,149,8,60,7,27,3,82,1,7,0.307,0.388,0.695,4.21,4.10,2015
藤田　一也,楽天,0.27,111,451,392,106,5,43,8,28,8,30,16,3,0.326,0.349,0.676,4.21,4.29,2015
坂本　勇人,巨人,0.269,130,558,479,129,12,68,10,65,0,79,9,5,0.353,0.401,0.754,5.27,5.27,2015
亀澤　恭平,中日,0.269,107,376,331,89,0,12,9,15,2,44,27,3,0.304,0.299,0.603,2.90,2.88,2015
荻野　貴司,ロッテ,0.269,82,309,279,75,2,13,18,16,4,38,9,5,0.317,0.337,0.654,3.81,3.75,2015
木村　昇吾,広島,0.269,72,109,93,25,0,8,2,5,0,22,8,1,0.297,0.355,0.652,3.66,3.81,2015
栗山　巧,西武,0.268,142,622,533,143,10,42,3,72,5,88,8,15,0.358,0.371,0.73,4.75,4.73,2015
畠山　和洋,ヤクルト,0.268,137,584,512,137,26,105,0,62,2,92,0,10,0.344,0.471,0.815,5.76,5.85,2015
ペーニャ,楽天,0.268,125,492,406,109,17,40,1,70,16,111,0,5,0.396,0.448,0.845,6.68,6.59,2015
ヘルマン,オリックス,0.267,73,245,221,59,1,15,17,24,0,40,0,7,0.339,0.326,0.665,4.19,4.08,2015
竹原　直隆,オリックス,0.267,41,88,75,20,2,13,0,12,1,14,0,2,0.375,0.453,0.828,6.08,5.81,2015
中島　卓也,日本ハム,0.264,143,617,515,136,0,39,34,66,2,93,34,10,0.35,0.287,0.637,3.86,3.81,2015
中田　翔,日本ハム,0.263,143,611,539,142,30,102,1,64,1,120,0,11,0.339,0.479,0.817,5.70,5.77,2015
鈴木　大地,ロッテ,0.263,142,564,487,128,6,50,1,47,3,58,24,10,0.33,0.366,0.695,3.97,3.92,2015
明石　健志,ソフトバンク,0.263,115,394,342,90,3,30,11,31,5,64,12,4,0.33,0.342,0.672,4.05,4.08,2015
上田　剛史,ヤクルト,0.263,82,238,209,55,1,19,8,14,2,29,11,5,0.313,0.306,0.619,3.34,3.40,2015
岩崎　達郎,楽天,0.263,44,42,38,10,0,6,0,2,0,12,2,0,0.3,0.289,0.589,3.10,3.02,2015
糸井　嘉男,オリックス,0.262,132,565,484,127,17,68,11,72,8,78,0,10,0.366,0.413,0.78,5.57,5.51,2015
森野　将彦,中日,0.262,82,252,206,54,0,10,2,37,3,38,3,0,0.378,0.301,0.678,5.03,5.11,2015
西岡　剛,阪神,0.262,50,196,172,45,2,14,1,22,1,21,0,5,0.347,0.343,0.69,3.99,3.99,2015
平野　恵一,オリックス,0.262,29,123,107,28,0,5,1,11,1,11,3,1,0.333,0.299,0.632,3.87,3.85,2015
坂口　智隆,オリックス,0.262,36,121,107,28,1,5,1,12,0,18,1,1,0.333,0.355,0.688,4.51,4.46,2015
関本　賢太郎,阪神,0.262,55,54,42,11,0,10,1,8,3,10,0,1,0.407,0.262,0.669,5.04,5.36,2015
堂林　翔太,広島,0.261,33,73,69,18,0,3,1,3,0,16,1,1,0.292,0.29,0.582,2.93,2.85,2015
大島　洋平,中日,0.26,142,620,565,147,6,27,22,39,5,65,10,5,0.313,0.342,0.655,3.89,3.83,2015
斉藤　彰吾,西武,0.26,103,112,96,25,2,5,4,5,4,35,7,1,0.324,0.375,0.699,4.03,3.95,2015
陽　岱鋼,日本ハム,0.259,86,381,352,91,7,36,14,21,4,93,2,4,0.306,0.358,0.664,4.05,4.06,2015
石川　雄洋,DeNA,0.259,89,375,343,89,1,18,6,16,7,82,9,2,0.306,0.297,0.603,3.25,3.19,2015
バルディリス,DeNA,0.258,139,525,465,120,13,56,0,43,12,62,0,12,0.333,0.391,0.725,4.56,4.60,2015
デスパイネ,ロッテ,0.258,103,409,353,91,18,62,0,49,4,89,0,9,0.352,0.462,0.814,5.60,5.63,2015
ロサリオ,広島,0.258,42,136,124,32,2,12,1,11,1,23,0,1,0.324,0.347,0.67,4.10,4.05,2015
松井　稼頭央,楽天,0.256,126,501,445,114,10,48,14,43,3,82,7,7,0.324,0.366,0.69,4.34,4.34,2015
クルーズ,ロッテ,0.255,133,532,501,128,16,73,0,24,2,66,0,7,0.289,0.401,0.691,4.05,4.11,2015
ウィーラー,楽天,0.255,91,313,274,70,14,50,1,30,6,63,0,6,0.339,0.453,0.791,5.38,5.48,2015
井手　正太郎,DeNA,0.255,40,102,98,25,4,13,0,3,0,28,0,0,0.275,0.449,0.723,4.51,4.52,2015
菊池　涼介,広島,0.254,143,644,562,143,8,32,19,29,2,92,49,7,0.292,0.343,0.636,3.23,3.20,2015
上本　博紀,阪神,0.253,108,452,375,95,4,31,19,44,4,69,29,1,0.338,0.339,0.677,4.02,3.95,2015
荒木　貴裕,ヤクルト,0.253,73,196,170,43,2,12,5,16,1,30,8,3,0.319,0.335,0.654,3.57,3.57,2015
聖澤　諒,楽天,0.252,86,288,258,65,0,12,15,23,2,68,4,4,0.317,0.314,0.631,3.56,3.52,2015
アンダーソン,巨人,0.252,83,260,234,59,7,31,1,21,5,37,0,5,0.327,0.402,0.729,4.54,4.46,2015
カラバイヨ,オリックス,0.252,64,247,222,56,12,35,0,17,5,63,0,3,0.316,0.455,0.771,4.98,5.15,2015
伊藤　隼太,阪神,0.252,63,150,135,34,2,12,0,11,0,31,1,0,0.302,0.348,0.65,3.81,3.99,2015
宮崎　祐樹,オリックス,0.252,43,148,131,33,0,14,3,13,1,25,3,3,0.324,0.298,0.622,3.00,2.98,2015
長野　久義,巨人,0.251,130,479,434,109,15,52,3,34,4,81,5,12,0.31,0.415,0.725,4.20,4.22,2015
