選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
松元　ユウイチ,ヤクルト,0.22,35,45,41,9,1,6,0,1,2,4,1,4,0.273,0.341,0.614,1.84,1.86,2010
飯山　裕志,日本ハム,0.219,72,160,137,30,1,12,2,5,0,40,15,2,0.241,0.241,0.482,1.55,1.84,2010
野本　圭,中日,0.218,118,277,238,52,4,27,0,26,1,53,9,3,0.295,0.315,0.61,3.08,3.24,2010
前田　大輔,オリックス,0.218,28,65,55,12,1,6,0,4,1,12,4,1,0.279,0.291,0.57,2.53,2.78,2010
赤田　将吾,オリックス,0.217,79,290,253,55,8,34,3,22,0,66,14,5,0.279,0.352,0.631,3.06,3.17,2010
金子　圭輔,オリックス,0.217,31,51,46,10,0,2,4,2,1,16,2,1,0.265,0.304,0.57,2.55,2.52,2010
柴原　洋,ソフトバンク,0.216,69,146,134,29,4,20,1,8,0,22,4,6,0.261,0.366,0.626,2.62,2.64,2010
セサル,中日,0.215,51,194,186,40,1,10,2,7,0,45,1,8,0.244,0.269,0.512,1.23,1.28,2010
小山　桂司,中日,0.215,35,76,65,14,0,4,0,5,0,20,3,3,0.26,0.262,0.522,1.71,2.13,2010
西村　弥,楽天,0.214,73,48,42,9,0,3,5,3,0,16,3,0,0.267,0.286,0.552,2.82,2.83,2010
上田　剛史,ヤクルト,0.214,39,47,42,9,0,2,0,1,2,10,2,0,0.267,0.286,0.552,2.54,2.48,2010
狩野　恵輔,阪神,0.214,32,46,42,9,2,5,0,3,1,9,0,1,0.283,0.357,0.64,3.23,3.37,2010
吉本　亮,ヤクルト,0.214,22,31,28,6,0,2,0,1,0,7,1,0,0.233,0.321,0.555,2.46,2.67,2010
小田嶋　正邦,巨人,0.214,14,15,14,3,0,1,0,1,0,5,0,0,0.267,0.214,0.481,1.85,1.99,2010
尾崎　匡哉,日本ハム,0.214,9,15,14,3,0,0,0,1,0,3,0,2,0.267,0.357,0.624,1.29,1.10,2010
北　篤,横浜,0.214,8,14,14,3,0,0,0,0,0,6,0,0,0.214,0.214,0.429,1.03,1.13,2010
下山　真二,オリックス,0.213,31,89,80,17,1,7,0,7,0,17,2,3,0.276,0.313,0.588,2.43,2.45,2010
山崎　勝己,ソフトバンク,0.21,77,236,205,43,2,18,0,11,2,71,16,2,0.256,0.283,0.539,2.15,2.20,2010
坂田　遼,西武,0.209,39,114,91,19,8,18,0,15,6,37,2,2,0.357,0.516,0.874,6.10,6.25,2010
神戸　拓光,ロッテ,0.209,26,48,43,9,1,7,0,3,1,13,0,0,0.271,0.302,0.573,2.89,3.19,2010
金城　龍彦,横浜,0.208,96,149,130,27,1,10,0,15,0,17,4,3,0.29,0.285,0.574,2.62,2.61,2010
